template_key,template_name,section_key,section_name,prompt
vet-surgery,Surgery,vet-postop-instructions,Post-operative Instructions,"Write discharge instructions for surgical patient in plain language: Incision care (keep dry, monitor for swelling/discharge), E-collar use (duration), Activity restriction (duration and specifics), Medication schedule, Feeding instructions (when to resume, any changes), Signs of complications requiring immediate attention, Suture removal or recheck date. Be specific with timeframes."
vet-recheck,Recheck,vet-recheck-signalment,Patient Information,"Extract patient signalment with current weight. Calculate and note weight change from previous visit if mentioned (gained/lost X kg)."
vet-recheck,Recheck,vet-recheck-reason,Reason for Recheck,"Document the recheck context: Original diagnosis or procedure, Date of initial visit or procedure, Treatments prescribed at last visit, Expected recheck interval"
vet-recheck,Recheck,vet-progress,Progress Update,"Document owner's report since last visit: Symptom improvement/worsening/no change, Medication compliance (missed doses?), Appetite and energy level, Any new concerns or symptoms, Side effects from medications if any"
vet-recheck,Recheck,vet-recheck-exam,Examination Findings,"Document focused physical examination relevant to the condition being monitored. Compare findings to previous visit where applicable. Note improvement, no change, or worsening of specific findings."
vet-recheck,Recheck,vet-recheck-assessment,Assessment,"Evaluate treatment response: Improving / Stable / Worsening, Diagnosis confirmed or revised, Any new findings requiring attention, Overall prognosis update"
vet-recheck,Recheck,vet-recheck-plan,Updated Plan,"Document plan going forward: Medications (continue / discontinue / modify with specifics), Additional diagnostics if needed, Next recheck timing, Criteria for resolution, When to escalate or return sooner"
vet-emergency,Emergency,vet-emergency-signalment,Patient Information,"Extract patient signalment: species, breed, age, sex, weight, name. Flag any known pre-existing conditions relevant to emergency treatment (heart disease, epilepsy, etc.)."
vet-emergency,Emergency,vet-triage,Triage Assessment,"Document initial triage: Presenting emergency complaint, Vital signs on arrival (T, HR, RR, BP if obtained), Triage category (Critical/red, Urgent/orange, Stable/green), Immediate interventions performed (oxygen, IV catheter, etc.), Time of arrival"
vet-emergency,Emergency,vet-emergency-history,Emergency History,"Document concise emergency history - focus on critical information: Time of symptom onset, Circumstances or possible cause (toxin, trauma, collapse), Progression since onset, Any home treatment attempted, Last known normal, Relevant medical history"
vet-emergency,Emergency,vet-emergency-exam,Emergency Examination,"Document rapid emergency assessment: Mentation (BAR, QAR, obtunded, stuporous, comatose), Airway (patent/obstructed), Breathing (rate, effort, lung sounds), Circulation (HR, pulse quality, CRT, mucous membrane color), Major trauma or abnormalities, Pain assessment"
vet-emergency,Emergency,vet-stabilization,Stabilization,"Document emergency interventions in chronological order: IV access (catheter size, location), Fluid resuscitation (type, bolus amounts, rate), Oxygen support (method, flow rate), Emergency medications (drug, dose, route, time), Procedures (thoracocentesis, abdominocentesis, etc.)"
vet-emergency,Emergency,vet-emergency-diagnostics,Emergency Diagnostics,"Document point-of-care and emergency diagnostics: PCV/TS, blood glucose, BUN (Azostick), lactate, Blood gas if performed, Radiographs (findings), FAST ultrasound (findings), Other tests. Include critical values and interpretation."
vet-emergency,Emergency,vet-emergency-assessment,Assessment & Prognosis,"Document emergency assessment: Working diagnosis, Differential diagnoses for this presentation, Prognosis (Good / Fair / Guarded / Poor / Grave), Communication with owner (condition, prognosis, costs discussed)"
vet-emergency,Emergency,vet-emergency-plan,Emergency Plan,"Document emergency plan: Hospitalization (yes/no, level of care needed), Continued monitoring parameters, Treatment orders, Surgery required (yes/no, urgency), Referral consideration, Estimate provided to owner (amount, approved/declined)"
